id,sku,productName
"-OpYOEs8WGfmMcsrSxri","BTWS-901-01-RNS","RISE N SHINE PURE COTTON TOWEL"
"-OpYOEuIFHl2sHAwGrrN","BTWS-901-02-RNS","RISE N SHINE PURE COTTON TOWEL"
"-OpYOEwGietTj20_e29_","BTWS-901-03-RNS","RISE N SHINE PURE COTTON TOWEL"
"-OpYOEyMipUohKhzGOG0","BTWS-901-04-RNS","RISE N SHINE PURE COTTON TOWEL"
"-OpYOF-M3zwtM7kLpvu-","BTWS-901-05-RNS","RISE N SHINE PURE COTTON TOWEL"
"-OpYOEo2j7XWMx7rzkAd","BTWS-903-01-RNS","RISE N SHINE PURE COTTON TOWEL"
"-OpYOElw3ncj9uawzq24","BTWS-903-02-RNS","RISE N SHINE PURE COTTON TOWEL"
"-OpYOEe147ZRhQbo4DWv","BTWS-904-01-CN","COZY NEST PURE COTTON TOWEL"
"-OpYOEgA2e9YT25zYjWA","BTWS-904-02-CN","COZY NEST PURE COTTON TOWEL"
"-OpYOEhRsokLlDpp9iin","BTWS-904-03-CN","COZY NEST PURE COTTON TOWEL"
"-OpYOEihz3QDL4p7wtnt","BTWS-904-04-CN","COZY NEST PURE COTTON TOWEL"
"-OpYOEjxSoK4YsKbi-Pl","BTWS-904-05-CN","COZY NEST PURE COTTON TOWEL"
"-OpYOF0aqe-N4y20gy2G","BTWS-920-Plush","PLUSH COLLECTION TOWEL"
"-OpYOF1qASpvxFH4RUrT","BTWS-921-Plush","PLUSH COLLECTION TOWEL"
"-OpYOF34AzR5slpVYor6","BTWS-922-Plush","PLUSH COLLECTION TOWEL"
"-OpYOF4Ku55TS8ofoEFU","BTWS-923-Plush","PLUSH COLLECTION TOWEL"
"-OpYOF79OQ8G-yyRZTZM","BTWS-924-Plush","PLUSH COLLECTION TOWEL"
"-OpYOF8SCwU_8hww4va6","BTWS-925-Plush","PLUSH COLLECTION TOWEL"
"-OpYOF9opzKhiMnh7M8Q","BTWS-926-Plush","PLUSH COLLECTION TOWEL"
"-Op8BvkE21wwJHK6tLcl","BTWS-CN-BROWN","Quirky Home Cozy Nest 100% Pure Cotton Unisex Towel"
"-Op8BvlUEugOnM7N-4CE","BTWS-CN-GREY","Quirky Home Cozy Nest 100% Pure Cotton Unisex Towel"
"-Op8BvizYURswXtSgBms","BTWS-CN-OLIVE GREEN","Quirky Home Cozy Nest 100% Pure Cotton Unisex Towel"
"-Op8BvgM8ZOhmM62PLU5","BTWS-RNS-OLIVE GREEN","Quirky Home Rise N Shine 100% Pure Cotton Unisex Towel"
"-Op8BvhdP4oncww9m64v","BTWS-RNS-ROSE GOLD","Quirky Home Rise N Shine 100% Pure Cotton Unisex Towel"
"-OpYOFGvb1D2WteQJGno","CLR-SB-401","Floral Print Single Bedsheet with 1 Pillow Covers"
"-OpfpHpU9I7Je6QwcpeC","CLS-SB-16","Classic Collection Single Bedsheet with 1 Pillow Cover"
"-OpfpHut9Xv2xPAHdfTW","CLS-SB-31","Classic Collection Single Bedsheet with 1 Pillow Cover"
"-Oq9g6juDjvIEQiqa4oo","DBS22","Jaipuri Double Bed 144 TC Pure Cotton Bedsheet with 2 Pillow Covers"
"-Oq9g6lmOAgH6W8Lp9Jc","DBS23","Jaipuri Double Bed 144 TC Pure Cotton Bedsheet with 2 Pillow Covers"
"-OpvuJtt0hCEx1XFJgYV","EFSC-1S-701","Maroon Magnolia Floral Print Lycra 1 Seater Sofa Cover"
"-OpvuJvBBBNR8TyZDjv1","EFSC-1S-702","Marble Geometric Diamond Lycra 1 Seater Sofa Cover"
